n,repeat,status,rounds,multicasts,rt_min_ms,rt_mean_ms,rt_max_ms
2,1,ok,4,2,0.114,2.387,9.13
4,1,ok,5,2,0.196,2.678,12.425
8,1,ok,7,10,0.44,2.022,10.514
16,1,ok,7,11,0.793,2.613,11.841
32,1,ok,7,32,1.539,5.147,23.05
64,1,ok,13,68,1.103,4.583,29.738
128,1,ok,10,119,0.956,9.441,63.266
256,1,ok,14,249,1.083,12.694,119.015
512,1,ok,11,486,1.369,28.018,205.272
1024,1,ok,13,1032,2.183,52.292,458.894
2048,1,ok,16,2086,2.379,152.229,1222.927
4096,1,ok,16,4102,9.243,806.683,5847.443
8192,1,ok,16,8219,20.327,3194.138,26044.871
