n,repeat,status,verdict,multicasts,obs_min,obs_max,disagreeing,loss,rounds,rt_min_ms,rt_mean_ms,rt_max_ms
2,1,ok,ok,4,4,4,0/2,0.0,7,0.102,1.568,10.261
4,1,ok,ok,7,7,7,0/4,0.0,5,0.226,2.63,11.804
8,1,ok,ok,6,6,6,0/8,0.0,8,0.441,1.958,11.751
16,1,ok,ok,14,14,14,0/16,0.0,8,0.67,2.576,13.057
32,1,ok,ok,33,33,33,0/32,0.0,12,0.85,3.106,17.772
64,1,ok,ok,52,52,52,0/64,0.0,10,1.786,7.308,36.221
128,1,ok,ok,111,111,111,0/128,0.0,10,0.895,9.352,63.156
256,1,ok,ok,261,261,261,0/256,0.0,12,0.976,13.856,118.553
512,1,ok,ok,499,499,499,0/512,0.0,12,1.341,23.506,194.408
1024,1,ok,ok,1062,1062,1062,0/1024,0.0,11,2.715,61.15,404.948
