seed,schnappschuss,S,naivSumme,naivAbweichung,konsistentGesamt,unterwegs
7919,1,3000,2913,-87,3000,0
7919,2,3000,3000,0,3000,1
7919,3,3000,3000,0,3000,1
7919,4,3000,3000,0,3000,0
7919,5,3000,3000,0,3000,0
7919,6,3000,3000,0,3000,2
7919,7,3000,3000,0,3000,0
7919,8,3000,2922,-78,3000,0
7919,9,3000,3000,0,3000,0
7919,10,3000,3000,0,3000,0
7919,11,3000,2929,-71,3000,0
7919,12,3000,3000,0,3000,2
7919,13,3000,3000,0,3000,0
7919,14,3000,3000,0,3000,0
7919,15,3000,3000,0,3000,0
7919,16,3000,3000,0,3000,2
7919,17,3000,3000,0,3000,2
7919,18,3000,2923,-77,3000,0
7919,19,3000,2715,-285,3000,0
7919,20,3000,2929,-71,3000,1
15838,1,3000,2674,-326,3000,1
15838,2,3000,3143,143,3000,1
15838,3,3000,3000,0,3000,0
15838,4,3000,2689,-311,3000,0
15838,5,3000,2856,-144,3000,1
15838,6,3000,3000,0,3000,1
15838,7,3000,3000,0,3000,1
15838,8,3000,3000,0,3000,2
15838,9,3000,2990,-10,3000,0
15838,10,3000,3000,0,3000,1
15838,11,3000,3000,0,3000,0
15838,12,3000,2967,-33,3000,0
15838,13,3000,2868,-132,3000,0
15838,14,3000,2811,-189,3000,1
15838,15,3000,2894,-106,3000,0
15838,16,3000,2958,-42,3000,0
15838,17,3000,2725,-275,3000,1
15838,18,3000,2780,-220,3000,1
15838,19,3000,3000,0,3000,0
15838,20,3000,2976,-24,3000,0
23757,1,3000,2732,-268,3000,0
23757,2,3000,2530,-470,3000,0
23757,3,3000,3000,0,3000,1
23757,4,3000,3000,0,3000,0
23757,5,3000,3000,0,3000,0
23757,6,3000,2841,-159,3000,1
23757,7,3000,2787,-213,3000,0
23757,8,3000,2814,-186,3000,0
23757,9,3000,2953,-47,3000,0
23757,10,3000,2895,-105,3000,0
23757,11,3000,2901,-99,3000,1
23757,12,3000,3000,0,3000,2
23757,13,3000,3000,0,3000,0
23757,14,3000,3000,0,3000,0
23757,15,3000,2929,-71,3000,1
23757,16,3000,2995,-5,3000,0
23757,17,3000,3000,0,3000,2
23757,18,3000,2779,-221,3000,0
23757,19,3000,2754,-246,3000,1
23757,20,3000,2991,-9,3000,1
31676,1,3000,3000,0,3000,1
31676,2,3000,2918,-82,3000,1
31676,3,3000,2947,-53,3000,0
31676,4,3000,2846,-154,3000,1
31676,5,3000,2799,-201,3000,0
31676,6,3000,3000,0,3000,0
31676,7,3000,2423,-577,3000,0
31676,8,3000,2849,-151,3000,1
31676,9,3000,3000,0,3000,1
31676,10,3000,2872,-128,3000,0
31676,11,3000,3000,0,3000,0
31676,12,3000,3000,0,3000,0
31676,13,3000,2865,-135,3000,1
31676,14,3000,2792,-208,3000,0
31676,15,3000,3000,0,3000,1
31676,16,3000,2773,-227,3000,0
31676,17,3000,2903,-97,3000,0
31676,18,3000,3000,0,3000,0
31676,19,3000,2845,-155,3000,0
31676,20,3000,3000,0,3000,0
39595,1,3000,3000,0,3000,1
39595,2,3000,3000,0,3000,2
39595,3,3000,2879,-121,3000,1
39595,4,3000,3000,0,3000,1
39595,5,3000,2755,-245,3000,0
39595,6,3000,2839,-161,3000,1
39595,7,3000,2781,-219,3000,1
39595,8,3000,2800,-200,3000,0
39595,9,3000,2938,-62,3000,0
39595,10,3000,3000,0,3000,0
39595,11,3000,3000,0,3000,0
39595,12,3000,2668,-332,3000,0
39595,13,3000,3000,0,3000,1
39595,14,3000,3000,0,3000,2
39595,15,3000,3000,0,3000,0
39595,16,3000,2615,-385,3000,0
39595,17,3000,2791,-209,3000,1
39595,18,3000,2836,-164,3000,0
39595,19,3000,3000,0,3000,1
39595,20,3000,3050,50,3000,0
47514,1,3000,3000,0,3000,1
47514,2,3000,2841,-159,3000,1
47514,3,3000,3000,0,3000,0
47514,4,3000,3000,0,3000,0
47514,5,3000,3097,97,3000,0
47514,6,3000,3000,0,3000,1
47514,7,3000,3000,0,3000,0
47514,8,3000,3000,0,3000,2
47514,9,3000,2934,-66,3000,0
47514,10,3000,2906,-94,3000,0
47514,11,3000,2834,-166,3000,0
47514,12,3000,2843,-157,3000,0
47514,13,3000,3000,0,3000,0
47514,14,3000,2923,-77,3000,1
47514,15,3000,3000,0,3000,0
47514,16,3000,3000,0,3000,0
47514,17,3000,2720,-280,3000,1
47514,18,3000,2839,-161,3000,0
47514,19,3000,3000,0,3000,1
47514,20,3000,3000,0,3000,1
