n,tickMaxMs,seed,runde,S,konten,kanaele,gesamt,konsistent,unterwegs,kontrollnachrichten,dauerMs,naivSumme,naivAbweichung,basisnachrichten
3,40,3400,1,3000,1366,1634,3000,true,14,20,428,1574,-1426,493
3,40,3400,2,3000,1404,1596,3000,true,14,20,436,1809,-1191,493
3,40,3400,3,3000,1273,1727,3000,true,15,21,368,1270,-1730,493
3,40,3401,1,3000,1904,1096,3000,true,13,19,460,1005,-1995,515
3,40,3401,2,3000,2053,947,3000,true,11,17,412,1875,-1125,515
3,40,3401,3,3000,660,2340,3000,true,15,21,370,1395,-1605,515
3,80,3800,1,3000,2622,378,3000,true,4,10,398,1777,-1223,271
3,80,3800,2,3000,2158,842,3000,true,7,13,512,1826,-1174,271
3,80,3800,3,3000,2496,504,3000,true,6,12,299,2503,-497,271
3,80,3801,1,3000,2285,715,3000,true,7,13,381,2149,-851,276
3,80,3801,2,3000,1980,1020,3000,true,7,13,448,2450,-550,276
3,80,3801,3,3000,2340,660,3000,true,6,12,452,2257,-743,276
3,160,4600,1,3000,2618,382,3000,true,3,9,375,2485,-515,137
3,160,4600,2,3000,2140,860,3000,true,5,11,374,2786,-214,137
3,160,4600,3,3000,2481,519,3000,true,4,10,389,2741,-259,137
3,160,4601,1,3000,2427,573,3000,true,4,10,494,2551,-449,126
3,160,4601,2,3000,2768,232,3000,true,1,7,294,2842,-158,126
3,160,4601,3,3000,2942,58,3000,true,1,7,276,2543,-457,126
5,40,5400,1,5000,2050,2950,5000,true,24,34,466,2331,-2669,914
5,40,5400,2,5000,2877,2123,5000,true,21,31,407,2546,-2454,914
5,40,5400,3,5000,2223,2777,5000,true,28,38,482,2273,-2727,914
5,40,5401,1,5000,2877,2123,5000,true,19,29,418,2307,-2693,905
5,40,5401,2,5000,1937,3063,5000,true,25,35,460,2762,-2238,905
5,40,5401,3,5000,2999,2001,5000,true,14,24,483,2624,-2376,905
5,80,5800,1,5000,3763,1237,5000,true,10,20,425,3716,-1284,459
5,80,5800,2,5000,4042,958,5000,true,10,20,488,3994,-1006,459
5,80,5800,3,5000,3822,1178,5000,true,11,21,415,3097,-1903,459
5,80,5801,1,5000,3649,1351,5000,true,11,21,415,3909,-1091,483
5,80,5801,2,5000,4210,790,5000,true,9,19,451,4022,-978,483
5,80,5801,3,5000,3938,1062,5000,true,10,20,551,3037,-1963,483
5,160,6600,1,5000,4538,462,5000,true,7,17,528,4114,-886,221
5,160,6600,2,5000,4363,637,5000,true,6,16,376,4320,-680,221
5,160,6600,3,5000,4636,364,5000,true,2,12,357,3897,-1103,221
5,160,6601,1,5000,4145,855,5000,true,8,18,384,3586,-1414,227
5,160,6601,2,5000,4449,551,5000,true,7,17,403,4361,-639,227
5,160,6601,3,5000,4115,885,5000,true,7,17,438,4220,-780,227
8,40,8400,1,8000,4177,3823,8000,true,36,52,470,4267,-3733,1478
8,40,8400,2,8000,4495,3505,8000,true,37,53,471,4608,-3392,1478
8,40,8400,3,8000,4227,3773,8000,true,31,47,448,4896,-3104,1478
8,40,8401,1,8000,3669,4331,8000,true,37,53,487,4740,-3260,1508
8,40,8401,2,8000,4046,3954,8000,true,36,52,473,4350,-3650,1508
8,40,8401,3,8000,5404,2596,8000,true,32,48,433,4243,-3757,1508
8,80,8800,1,8000,5772,2228,8000,true,23,39,485,6041,-1959,724
8,80,8800,2,8000,6521,1479,8000,true,14,30,417,5358,-2642,724
8,80,8800,3,8000,5942,2058,8000,true,18,34,433,5959,-2041,724
8,80,8801,1,8000,6522,1478,8000,true,14,30,366,6104,-1896,740
8,80,8801,2,8000,6712,1288,8000,true,14,30,479,6042,-1958,740
8,80,8801,3,8000,5294,2706,8000,true,19,35,504,6433,-1567,740
8,160,9600,1,8000,6624,1376,8000,true,12,28,415,7469,-531,353
8,160,9600,2,8000,7014,986,8000,true,8,24,384,7086,-914,353
8,160,9600,3,8000,6345,1655,8000,true,13,29,372,6840,-1160,353
8,160,9601,1,8000,6565,1435,8000,true,9,25,422,7179,-821,365
8,160,9601,2,8000,6573,1427,8000,true,12,28,396,6725,-1275,365
8,160,9601,3,8000,7162,838,8000,true,6,22,373,6626,-1374,365
12,40,12400,1,12000,6256,5744,12000,true,54,78,481,6290,-5710,2258
12,40,12400,2,12000,5633,6367,12000,true,55,79,502,6718,-5282,2258
12,40,12400,3,12000,4434,7566,12000,true,53,77,445,6181,-5819,2258
12,40,12401,1,12000,5749,6251,12000,true,52,76,528,7053,-4947,2310
12,40,12401,2,12000,5930,6070,12000,true,60,84,491,6092,-5908,2310
12,40,12401,3,12000,6582,5418,12000,true,50,74,504,4766,-7234,2310
12,80,12800,1,12000,9686,2314,12000,true,23,47,449,8556,-3444,1173
12,80,12800,2,12000,7869,4131,12000,true,30,54,483,9346,-2654,1173
12,80,12800,3,12000,9838,2162,12000,true,22,46,475,9087,-2913,1173
12,80,12801,1,12000,9210,2790,12000,true,24,48,414,8695,-3305,1145
12,80,12801,2,12000,9098,2902,12000,true,24,48,382,8858,-3142,1145
12,80,12801,3,12000,9338,2662,12000,true,28,52,530,8553,-3447,1145
12,160,13600,1,12000,10772,1228,12000,true,14,38,466,10923,-1077,554
12,160,13600,2,12000,10183,1817,12000,true,13,37,422,10742,-1258,554
12,160,13600,3,12000,10167,1833,12000,true,14,38,468,10135,-1865,554
12,160,13601,1,12000,10241,1759,12000,true,15,39,364,10847,-1153,553
12,160,13601,2,12000,10408,1592,12000,true,14,38,356,9859,-2141,553
12,160,13601,3,12000,11166,834,12000,true,10,34,488,11426,-574,553
