runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,durationSeconds,seed,logPath
0,2,1,ok,5,1,0.076,1.207,5.627,0.078,2026,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run0-n2.log
1,2,2,ok,5,1,0.081,1.197,5.542,0.094,2027,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run1-n2.log
2,2,3,ok,7,2,0.075,0.798,4.994,0.078,2028,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run2-n2.log
3,2,4,ok,7,3,0.083,0.798,4.993,0.078,2029,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run3-n2.log
4,2,5,ok,6,1,0.081,0.947,5.172,0.094,2030,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run4-n2.log
5,2,6,ok,5,1,0.075,1.073,4.962,0.078,2031,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run5-n2.log
6,2,7,ok,5,1,0.085,1.074,4.956,0.078,2032,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run6-n2.log
7,2,8,ok,6,1,0.08,0.9,4.89,0.079,2033,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run7-n2.log
8,2,9,ok,6,1,0.082,0.97,5.324,0.078,2034,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run8-n2.log
9,2,10,ok,3,0,0.085,1.756,5.088,0.093,2035,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run9-n2.log
10,4,1,ok,6,1,0.147,1.034,5.12,0.079,2036,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run10-n4.log
11,4,2,ok,6,1,0.17,1.129,5.764,0.093,2037,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run11-n4.log
12,4,3,ok,3,0,0.161,2.19,6.211,0.078,2038,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run12-n4.log
13,4,4,ok,8,3,0.161,0.989,6.386,0.094,2039,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run13-n4.log
14,4,5,ok,8,3,0.162,1.008,6.531,0.11,2040,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run14-n4.log
15,4,6,ok,8,5,0.136,0.855,5.467,0.078,2041,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run15-n4.log
16,4,7,ok,7,4,0.158,0.985,5.707,0.093,2042,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run16-n4.log
17,4,8,ok,6,2,0.175,1.122,5.675,0.079,2043,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run17-n4.log
18,4,9,ok,6,2,0.192,1.062,5.201,0.093,2044,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110613\run18-n4.log
