n,runs,failedRuns,roundsMin,roundsMax,roundsMean,multicastsMin,multicastsMax,multicastsMean,minMsMin,minMsMax,minMsMean,avgMsMin,avgMsMax,avgMsMean,maxMsMin,maxMsMax,maxMsMean,durationSecondsMin,durationSecondsMax,durationSecondsMean
2,10,0,3,7,5.5,0,3,1.2,0.075,0.085,0.08,0.798,1.756,1.072,4.89,5.627,5.155,0.078,0.094,0.083
4,10,0,3,8,6.3,0,5,2.2,0.136,0.192,0.162,0.855,2.19,1.163,5.12,6.531,5.752,0.078,0.11,0.087
8,10,0,6,10,8.3,3,7,4.7,0.295,0.361,0.334,0.879,1.403,1.092,5.346,6.213,5.745,0.078,0.094,0.087
16,10,0,7,7,7,6,12,8.6,0.581,0.717,0.653,1.503,1.71,1.59,5.598,6.357,5.983,0.078,0.094,0.088
32,10,0,9,9,9,10,12,11.5,0.714,0.97,0.87,1.917,2.048,1.966,6.644,7.409,6.93,0.093,0.11,0.097
64,10,0,9,9,9,28,29,28.7,0.618,1.034,0.925,2.732,2.955,2.816,7.925,8.465,8.146,0.093,0.11,0.105
128,10,0,13,13,13,60,63,61.9,0.586,0.849,0.661,3.006,4.53,3.459,12.4,20.323,14.838,0.125,0.156,0.131
256,10,0,13,13,13,128,131,129.2,0.471,1.124,0.795,6.096,9.134,6.79,29.886,40.82,33.852,0.156,0.235,0.178
512,10,0,13,13,13,262,264,262.8,0.918,1.223,1.037,9.197,12.031,10.787,62.615,90.942,80.82,0.203,0.266,0.234
1024,10,0,16,16,16,525,528,526.8,0.953,1.397,1.239,15.855,19.016,17.062,128.626,182.275,151.753,0.343,0.468,0.383
2048,10,0,16,16,16,1115,1126,1120.9,1.937,2.968,2.181,42.065,78.92,49.133,234.387,469.299,287.012,0.781,1.375,0.898
4096,10,0,16,16,16,3645,3655,3650.7,4.388,6.589,5.137,316.794,471.733,405.889,2300.946,3328.137,2678.713,5.203,7.672,6.62
8192,10,0,17,17,17,8124,8136,8129.2,8.753,11.031,10.081,1545.937,1902.879,1738.305,12591.445,15875.662,14415.582,26.407,32.484,29.691
16384,10,10,,,,,,,,,,,,,,,,,,
