runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,durationSeconds,seed
0,2,1,ok,5,2,0.093,1.313,6.159,0.093,714753835886845476
1,2,2,ok,4,1,0.092,1.561,5.932,0.079,2064165500098402346
2,2,3,ok,3,0,0.093,2.083,6.052,0.109,3263962121105332777
3,2,4,ok,5,4,0.081,1.177,5.525,0.078,3913138278938707165
4,2,5,ok,4,2,0.103,1.37,5.137,0.094,7412014681887649186
5,2,6,ok,5,2,0.089,1.08,5.017,0.078,4510866750665753495
6,2,7,ok,8,4,0.085,0.745,5.176,0.094,7402934901796254651
7,2,8,ok,3,0,0.09,2.021,5.869,0.078,3011405544405824033
8,2,9,ok,3,0,0.095,1.932,5.595,0.094,5891910571054622617
9,2,10,ok,4,2,0.098,1.523,5.746,0.093,7785432122232982758
10,4,1,ok,5,3,0.181,1.347,5.878,0.078,2336030146707809738
11,4,2,ok,7,5,0.19,1.054,6.056,0.094,2873192322795268274
12,4,3,ok,4,2,0.145,1.464,5.342,0.078,3768775798486800627
13,4,4,ok,5,4,0.177,1.338,5.962,0.094,1897348404420007147
14,4,5,ok,7,3,0.18,1.469,8.91,0.094,4358192036720003939
15,4,6,ok,4,2,0.18,1.886,6.987,0.094,9182883199495893222
16,4,7,ok,6,4,0.195,1.176,5.914,0.093,6665754483963412381
17,4,8,ok,6,5,0.194,1.311,6.753,0.11,4136798430658616598
18,4,9,ok,7,2,0.174,1.035,6.065,0.078,9136955050401221460
19,4,10,ok,7,4,0.163,1.139,6.679,0.094,603826494502410488
20,8,1,ok,6,9,0.343,2.067,9.317,0.109,7369662983750513980
21,8,2,ok,6,7,0.35,1.385,6.015,0.078,5657948428856033613
22,8,3,ok,5,6,0.331,1.578,6.218,0.094,6962429544289043968
23,8,4,ok,7,6,0.35,1.32,6.623,0.094,6271166052508784570
24,8,5,ok,5,5,0.363,2.615,11.194,0.109,2656871949079174825
25,8,6,ok,7,10,0.367,1.358,6.634,0.094,7352602647050950501
26,8,7,ok,8,8,0.321,1.173,6.796,0.093,200151921184410367
27,8,8,ok,9,12,0.34,1.18,7.432,0.094,2047098188988769074
28,8,9,ok,6,9,0.366,1.407,6.294,0.094,7107305736680108932
29,8,10,ok,7,4,0.345,1.419,7.357,0.094,1293965272771245163
30,16,1,ok,7,16,0.665,1.662,6.317,0.093,4674362542283080481
31,16,2,ok,8,16,0.548,1.724,8.344,0.094,3653319220234003664
32,16,3,ok,7,13,0.606,1.721,7.8,0.094,7916506994839011238
33,16,4,ok,8,19,0.605,1.752,8.571,0.094,7362011440344228344
34,16,5,ok,7,19,0.603,1.79,7.902,0.093,1880208945724189991
35,16,6,ok,9,17,0.541,1.457,7.29,0.094,3839513486691974923
36,16,7,ok,8,19,0.603,1.662,8.014,0.094,8468255632302602854
37,16,8,ok,7,22,0.774,2.506,11.736,0.094,47146835537769301
38,16,9,ok,11,24,0.656,1.44,7.628,0.109,552919207989218221
39,16,10,ok,9,20,0.568,1.486,7.431,0.094,7987733850670768080
40,32,1,ok,10,33,0.746,2.033,10.394,0.094,9178780614565073876
41,32,2,ok,11,27,1.079,2.359,10.229,0.125,5449132970213768181
42,32,3,ok,7,29,0.785,2.746,11.722,0.109,6510168300373791515
43,32,4,ok,7,33,1.066,3.418,12.559,0.125,5977622511244976577
44,32,5,ok,9,38,0.46,2.612,12.634,0.109,5960200350354185308
45,32,6,ok,7,28,1.387,3.552,13.327,0.11,4660067244250834046
46,32,7,ok,7,27,1.099,4.014,10.649,0.125,2841220256587526413
47,32,8,ok,6,24,0.905,2.927,10.75,0.093,3067672030388784584
48,32,9,ok,8,31,0.597,2.154,9.812,0.11,8274695295864144621
49,32,10,ok,10,27,0.752,2.203,9.98,0.125,8433204437918136215
50,64,1,ok,10,68,0.507,3.27,17.872,0.125,266477181406415746
51,64,2,ok,9,63,0.528,3.954,21.867,0.14,5888148242987551044
52,64,3,ok,11,56,0.4,3.122,15.133,0.125,5721654642574217762
53,64,4,ok,9,65,0.618,3.212,16.89,0.11,4726158664116133675
54,64,5,ok,12,70,0.445,4.112,38.282,0.5,5099510446196054893
55,64,6,ok,10,57,0.865,3.629,18.007,0.125,649409727217923352
56,64,7,ok,7,58,0.544,4.044,18.549,0.109,6557944942165317371
57,64,8,ok,10,68,0.386,4.288,29.575,0.141,3544075906297945800
58,64,9,ok,11,68,0.461,2.687,15.629,0.109,7737573297070394799
59,64,10,ok,11,63,0.643,2.67,13.967,0.11,6722153873904742933
60,128,1,ok,10,136,0.82,6.423,39.083,0.171,7347890699949145219
61,128,2,ok,11,144,0.531,5.25,37.523,0.141,3807043402233636377
62,128,3,ok,10,117,0.569,8.158,59.01,0.172,4138524224916037117
63,128,4,ok,12,120,0.687,3.957,28.062,0.141,8843541511126224079
64,128,5,ok,10,138,0.747,5.978,34.799,0.14,4977817754712206498
65,128,6,ok,10,150,0.39,6.901,35.962,0.172,3598717018569291883
66,128,7,ok,12,122,0.423,5.712,40.32,0.203,6389511373355989922
67,128,8,ok,13,127,0.581,5.641,42.92,0.172,2039000242625579525
68,128,9,ok,13,129,0.161,16.451,76.185,0.609,1999515792031041587
69,128,10,ok,13,132,0.358,15.273,83.227,0.485,3164583845145002261
70,256,1,ok,12,235,0.645,10.277,96.7,0.265,2212027173353350320
71,256,2,ok,13,266,0.539,11.217,100.953,0.25,3444445119860668795
72,256,3,ok,11,255,0.514,14.419,106.106,0.282,7343863815523682496
73,256,4,ok,13,253,0.563,8.348,77.125,0.203,7391382915538794567
74,256,5,ok,13,277,0.486,9.935,74.467,0.25,2647706327724579425
75,256,6,ok,10,250,0.549,10.335,70.437,0.203,1194174957585574874
76,256,7,ok,13,273,0.573,10.5,106.727,0.234,5405135317816549249
77,256,8,ok,12,258,0.441,10.655,87.696,0.25,8879007961311762102
78,256,9,ok,11,252,0.723,17.275,159.457,0.297,6291243557619531260
