runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,consistencyWarnings,durationSeconds,seed
0,2,1,ok,6,4,0.121,2.261,12.895,0,0.109,1692142738353318404
1,2,2,ok,6,5,0.113,2.36,13.294,0,0.094,5795943011054260214
2,2,3,ok,4,1,0.103,3.467,13.513,0,0.109,3992792658387729121
3,2,4,ok,6,2,0.092,2.332,13.44,0,0.094,3562582428821208595
4,2,5,ok,6,3,0.096,2.151,12.349,0,0.094,2961175476028832718
5,2,6,ok,5,2,0.086,2.697,13.056,0,0.109,2702064369248688679
6,2,7,ok,3,0,0.093,2.078,6.038,0,0.078,8980468729547342582
7,2,8,ok,6,2,0.094,2.119,12.2,0,0.109,5196135521077442976
8,2,9,ok,3,0,0.096,2.284,6.644,0,0.094,6384172172575003254
9,2,10,ok,7,4,0.109,2.04,13.432,0,0.11,5170068259463782689
10,4,1,ok,5,4,0.179,2.853,13.401,0,0.093,3489557770130321136
11,4,2,ok,6,5,0.183,2.311,12.782,0,0.094,7841150922888216024
12,4,3,ok,4,1,0.187,3.356,12.828,0,0.109,6915435648681392068
13,4,4,ok,5,5,0.181,2.425,11.108,0,0.094,590740202241799790
14,4,5,ok,6,4,0.178,2.097,11.582,0,0.078,2726374451535913555
15,4,6,ok,6,4,0.185,2.143,11.675,0,0.094,960782056833376522
16,4,7,ok,5,5,0.193,2.602,12.138,0,0.094,358842416578755614
17,4,8,ok,6,4,0.174,2.022,11.167,0,0.078,8768162113132475150
18,4,9,ok,7,5,0.17,1.78,11.3,0,0.094,3027956386195688491
19,4,10,ok,6,5,0.179,2.23,12.275,0,0.093,6450256763412466734
20,8,1,ok,9,12,0.399,2.016,14.188,0,0.11,3842489843734226517
21,8,2,ok,6,8,0.372,2.744,14.346,0,0.094,3745598865981948011
22,8,3,ok,9,10,0.345,1.989,14.578,0,0.093,6019981235401423124
23,8,4,ok,6,8,0.379,2.555,13.217,0,0.094,5813277348740988507
24,8,5,ok,7,6,0.348,2.156,12.705,0,0.109,7869223670725487259
25,8,6,ok,7,6,0.355,2.153,12.462,0,0.079,3757438715503964469
26,8,7,ok,12,9,0.37,1.443,12.323,0,0.093,8443665172628983372
27,8,8,ok,6,9,0.392,2.511,12.861,0,0.094,8021774983954470927
28,8,9,ok,5,8,0.379,2.902,12.567,0,0.094,4608181738605778765
