runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,durationSeconds,heapMbPerNode,error
0,2,1,ok,4,1,3.967,8.122,18.678,0.235,512,
1,2,2,ok,4,2,4.036,8.878,21.049,0.235,512,
2,2,3,ok,5,3,5.034,8.843,19.154,0.235,512,
3,2,4,ok,8,2,4.065,7.617,16.873,0.266,512,
4,2,5,ok,3,0,5.251,13.009,19.826,0.297,512,
5,2,6,ok,4,2,4.321,23.586,80.328,0.516,512,
6,2,7,ok,4,2,4.45,16.732,47.066,0.922,512,
7,2,8,ok,3,0,4.962,12.926,27.717,0.281,512,
8,2,9,ok,6,2,5.585,9.415,17.376,0.266,512,
9,2,10,ok,6,1,3.963,12.997,37.814,0.281,512,
