n,run,k,p_start,rounds,total_multicasts,round_time_min_ms,round_time_avg_ms,round_time_max_ms,total_time_s
2,1,3,0.5,4,2,0.055800002883188426,0.11307499880786054,0.2502999996067956,0.0007814999989932403
2,2,3,0.5,4,2,0.05459999374579638,0.11277500016149133,0.24080000002868474,0.0007621999975526705
2,3,3,0.5,7,3,0.05089999467600137,0.10911428502627782,0.30649999098386616,0.001043800002662465
4,1,3,0.5,6,4,0.10179998935200274,0.27599999884841964,0.637400007690303,0.0019520000059856102
4,2,3,0.5,6,3,0.10289999772794545,0.22688333168237781,0.6753000052412972,0.0018960999877890572
4,3,3,0.5,5,2,0.09940000018104911,0.16737999976612628,0.35400000342633575,0.0014368000120157376
8,1,3,0.5,5,6,0.2052999916486442,0.6694999989122152,1.8640999915078282,0.004143099999055266
8,2,3,0.5,9,8,0.2229999954579398,0.5129888870417036,1.7184000025736168,0.005644199991365895
8,3,3,0.5,8,6,0.20059999951627105,0.47828749848122243,1.6660999972373247,0.004582499997923151
16,1,3,0.5,6,12,0.4107999993721023,1.5906166615119826,4.765599995153025,0.015231999990646727
16,2,3,0.5,8,20,0.41710000368766487,1.6127375038195169,5.263900005957112,0.018670399993425235
16,3,3,0.5,11,18,0.43230000301264226,1.257872728853148,4.84790001064539,0.020587400009389967
32,1,3,0.5,9,36,1.1597000120673329,5.130766669430563,17.18090000213124,0.0627604000037536
32,2,3,0.5,11,39,2.249700002721511,5.8869909103536475,15.065100000356324,0.0807216000102926
32,3,3,0.5,10,37,2.8110999992350116,5.894969997461885,16.289799998048693,0.07716749999963213
64,1,3,0.5,8,61,3.3904000010807067,15.733437501694425,47.86999999487307,0.15592089999699965
64,2,3,0.5,12,69,1.8404000002192333,13.812783334287815,62.89070000639185,0.19835010000679176
64,3,3,0.5,9,73,2.01569999626372,18.08698888473575,59.6019999939017,0.19001429999480024
128,1,3,0.5,11,130,4.218899994157255,48.41608181860382,218.4971999959089,0.5897717999905581
128,2,3,0.5,12,123,3.481500010821037,43.250966666770786,241.33589999109972,0.5735083000035957
128,3,3,0.5,13,127,3.3170999959111214,41.25497692215364,212.88829999684822,0.5934133999980986
256,1,3,0.5,10,237,12.923500005854294,167.83187999681104,792.5504999875557,1.8109570999949938
256,2,3,0.5,14,233,12.127100009820424,136.15939285747507,838.1865000119433,2.023838799999794
256,3,3,0.5,11,255,15.335699994466268,162.41801818118387,759.4463999994332,1.917632800003048
512,1,3,0.5,14,510,34.08160000981297,545.8671571427009,3223.824100001366,7.9136730000027455
512,2,3,0.5,11,496,32.079599986900575,683.5240818168544,3503.1280999974115,7.751403999995091
512,3,3,0.5,14,512,27.15389999502804,547.7862000001811,3479.3191000062507,7.915059700011625
1024,1,3,0.5,17,1056,53.08549999608658,1755.1390411767095,13465.379100001883,30.3562849000009
1024,2,3,0.5,16,1012,54.91489999985788,1716.7862312508078,12594.175300007919,27.97918579999532
1024,3,3,0.5,12,1020,56.6153999970993,2423.416666668345,13228.493899994646,29.589666900006705
2048,1,3,0.5,17,2089,104.7987999918405,6754.3586117638315,52583.23579998978,116.07450970000355
