n,k,totalFires,rounds,minRoundMs,meanRoundMs,maxRoundMs,wallTimeMs
2,3,3,6,0.0863,1.6189,9.1618,10
4,3,5,5,0.1891,0.3021,0.4984,1
8,3,10,6,0.4420,0.5664,0.8284,4
16,3,15,7,0.6330,0.9515,2.1734,7
32,3,22,12,0.6152,1.1535,3.0406,15
64,3,63,8,0.7250,2.8912,9.7122,25
128,3,121,12,1.5069,5.7766,27.1535,73
256,3,273,11,1.5388,13.9203,75.0438,157
512,3,539,11,1.7467,20.3231,117.9705,228
1024,3,1085,13,2.1548,43.0609,269.1740,565
2048,3,2078,14,3.1888,122.2956,860.9181,1721
4096,3,4181,16,7.3390,442.9160,3445.1859,7103
8192,3,8217,16,19.7549,1854.0120,15010.5275,29704
16384,3,16269,16,38.5649,7711.9828,63234.5275,123466
32768,3,32663,18,77.3566,28699.6138,266950.9295,516960
