n,runs,failedRuns,roundsMin,roundsMax,roundsMean,multicastsMin,multicastsMax,multicastsMean,minMsMin,minMsMax,minMsMean,avgMsMin,avgMsMax,avgMsMean,maxMsMin,maxMsMax,maxMsMean,durationSecondsMin,durationSecondsMax,durationSecondsMean
2,10,0,3,8,4.4,0,4,1.7,0.081,0.103,0.092,0.745,2.083,1.48,5.017,6.159,5.621,0.078,0.109,0.089
4,10,0,4,7,5.8,2,5,3.4,0.145,0.195,0.178,1.035,1.886,1.322,5.342,8.91,6.455,0.078,0.11,0.091
8,10,0,5,9,6.6,4,12,7.6,0.321,0.367,0.348,1.173,2.615,1.55,6.015,11.194,7.388,0.078,0.109,0.095
16,10,0,7,11,8.1,13,24,18.5,0.541,0.774,0.617,1.44,2.506,1.72,6.317,11.736,8.103,0.093,0.109,0.095
32,10,0,6,11,8.2,24,38,29.7,0.46,1.387,0.888,2.033,4.014,2.802,9.812,13.327,11.206,0.093,0.125,0.113
64,10,0,7,12,10,56,70,63.6,0.386,0.865,0.54,2.67,4.288,3.499,13.967,38.282,20.577,0.109,0.5,0.159
128,10,0,10,13,11.4,117,150,131.5,0.161,0.82,0.527,3.957,16.451,7.974,28.062,83.227,47.709,0.14,0.609,0.241
256,10,0,10,13,12,235,277,257.1,0.436,0.723,0.547,8.348,17.275,11.629,70.437,159.457,100.194,0.203,0.297,0.252
512,10,0,11,15,12.7,493,544,520.9,0.88,1.112,0.965,12.169,19.681,15.414,113.678,168.539,132.803,0.265,0.36,0.292
1024,10,0,12,16,13.6,992,1078,1032.9,1.16,1.834,1.346,27.137,39.651,32.929,214.61,303.888,253.466,0.485,0.61,0.55
2048,10,0,12,17,14.5,1990,2092,2040.8,1.605,2.653,2.123,81.922,119.502,97.429,696.345,834.686,752.932,1.438,1.844,1.547
4096,10,0,15,19,15.9,3949,4161,4073.6,4.269,5.991,4.645,383.295,516.147,464.685,3312.267,3938.549,3530.917,6.89,7.907,7.514
8192,10,0,16,19,17,8029,8301,8185.4,8.792,9.617,9.117,1705.154,2124.764,1941.284,15760.873,17160.756,16524.173,32.125,34.36,33.069
16384,10,6,16,19,17.5,16202,16524,16414.5,17.52,19.345,18.514,6199.459,7366.819,6719.197,56272.136,59406.579,57711.912,116.172,118.25,117.512
