n,runs,failedRuns,roundsMin,roundsMax,roundsMean,multicastsMin,multicastsMax,multicastsMean,minMsMin,minMsMax,minMsMean,avgMsMin,avgMsMax,avgMsMean,maxMsMin,maxMsMax,maxMsMean,consistencyWarningsMin,consistencyWarningsMax,consistencyWarningsMean,durationSecondsMin,durationSecondsMax,durationSecondsMean
2,10,0,3,7,5.2,0,5,2.3,0.086,0.121,0.1,2.04,3.467,2.379,6.038,13.513,11.686,0,0,0,0.078,0.11,0.1
4,10,0,4,7,5.6,1,5,4.2,0.17,0.193,0.181,1.78,3.356,2.382,11.108,13.401,12.026,0,0,0,0.078,0.109,0.092
8,10,0,5,12,7.3,6,12,8.5,0.345,0.399,0.371,1.443,2.902,2.297,12.323,14.578,13.218,0,0,0,0.079,0.11,0.095
16,10,0,6,10,8.1,10,20,15.2,0.562,0.817,0.706,2.043,3.088,2.479,12.425,14.202,13.509,0,0,0,0.093,0.109,0.097
32,10,0,7,11,9.3,27,38,32.3,0.881,1.509,1.084,2.844,4.058,3.285,15.54,17.272,16.305,0,0,0,0.093,0.11,0.108
64,10,0,7,11,8.7,54,78,64.3,0.718,1.154,0.902,4.06,6.401,5.092,22.333,28.251,25.546,0,0,0,0.109,0.125,0.122
128,10,0,9,12,10.6,112,150,131.4,0.46,0.808,0.57,5.513,7.205,6.278,41.997,48.223,44.635,0,0,0,0.14,0.156,0.145
256,10,0,10,14,11.8,245,276,256.9,0.51,0.683,0.579,7.635,10.764,8.969,70.778,84.154,76.806,0,0,0,0.172,0.204,0.189
512,10,0,12,16,12.7,486,534,512.2,0.954,1.106,1.019,12.626,16.923,14.791,114.695,151.008,131.938,0,0,0,0.25,0.297,0.278
1024,10,0,13,16,14,1012,1042,1029.3,1.088,2.115,1.437,27.997,36.424,30.899,221.235,304.981,254.988,0,0,0,0.5,0.609,0.542
